Data,Precipitacao,TempMinima,TempMaxima
03/01/2012,0.0,15.6,30.3
03/01/2013,0.0,18.1,21.2
03/01/2014,0.0,24.2,35.5
03/01/2015,0.0,22.4,29.9
03/01/2016,2.6,19.4,23.9
03/01/2017,3.7,19.2,31.3
03/01/2018,2.2,19.8,25.9
03/01/2019,0.0,20.6,33.3
03/02/2000,0.0,20.2,28.8
03/02/2001,0.0,23.0,30.8
03/02/2002,3.5,17.3,24.3
03/02/2003,0.0,21.1,32.3
03/02/2004,5.0,20.1,28.2
03/02/2005,11.0,18.8,26.8
03/02/2006,0.0,18.7,31.7
03/02/2007,0.0,19.7,29.3
03/02/2008,0.0,21.2,28.3
03/02/2009,31.6,20.2,29.6
03/02/2010,6.0,18.9,33.2
03/02/2011,15.2,20.5,25.2
03/02/2012,0.0,18.8,32.4
03/02/2013,6.8,20.5,26.5
03/02/2014,0.0,24.7,35.0
03/02/2015,1.6,18.0,31.1
03/02/2016,4.8,20.4,31.8
03/02/2017,1.0,19.6,29.2
03/02/2018,0.0,18.1,25.9
03/02/2019,0.0,22.8,31.4
03/03/2000,0.0,19.2,29.1
03/03/2001,48.6,16.1,29.9
03/03/2002,8.8,19.4,29.0
03/03/2003,0.0,21.2,33.0
03/03/2004,0.0,20.4,30.7
03/03/2005,0.2,17.3,20.5
03/03/2006,22.8,20.2,32.5
03/03/2007,0.0,21.5,32.5
03/03/2008,1.5,21.0,29.9
03/03/2009,0.0,23.8,32.2
03/03/2010,0.4,16.9,23.7
03/03/2011,32.0,16.3,20.9
03/03/2012,16.6,20.1,28.3
03/03/2013,2.2,19.4,31.5
03/03/2014,0.0,19.3,28.3
03/03/2015,0.0,19.5,29.5
03/03/2016,22.0,18.5,25.2
03/03/2017,7.0,19.5,27.5
03/03/2018,4.2,20.0,29.5
03/03/2019,31.0,19.1,29.5
03/04/2000,0.8,14.7,20.1
03/04/2001,0.3,18.7,26.7
03/04/2002,0.0,20.1,28.6
03/04/2003,0.0,15.5,26.1
03/04/2004,0.0,17.7,30.5
03/04/2005,0.0,22.2,31.7
03/04/2006,0.0,17.5,23.8
03/04/2007,6.4,20.8,31.7
03/04/2008,0.0,19.2,23.1
03/04/2009,0.0,18.5,26.5
03/04/2010,5.3,19.7,24.3
03/04/2011,34.4,18.6,25.2
03/04/2012,0.0,18.7,28.8
03/04/2013,0.1,18.2,0.0
03/04/2014,0.0,19.6,26.7
03/04/2015,0.0,16.3,27.2
03/04/2016,0.0,19.2,31.4
03/04/2017,0.0,15.9,27.6
03/04/2018,0.0,20.5,26.3
03/04/2019,0.0,17.7,29.8
03/05/2000,1.5,18.5,28.8
03/05/2001,0.0,19.9,31.7
03/05/2002,8.2,17.3,26.5
03/05/2003,6.6,13.1,19.9
03/05/2004,0.0,17.1,29.2
03/05/2005,0.0,12.3,22.3
03/05/2006,0.0,11.2,23.1
03/05/2007,0.0,15.3,24.6
03/05/2008,56.5,13.9,19.7
03/05/2009,0.0,15.7,0.0
03/05/2010,0.0,15.1,28.8
03/05/2011,1.4,14.1,21.2
03/05/2012,0.0,12.1,21.3
03/05/2013,0.0,17.4,0.0
03/05/2014,0.0,16.9,26.0
03/05/2015,0.0,15.8,26.3
03/05/2016,0.0,12.7,25.6
03/05/2017,0.0,15.1,24.8
03/05/2018,0.0,17.9,29.0
03/05/2019,0.0,19.5,29.5
03/06/2000,0.0,12.7,20.5
03/06/2001,0.0,16.1,26.5
03/06/2002,0.0,15.3,26.1
